		max_rss	vsize
8192	LAGrad	856064	4370608128
8192	Enzyme/MLIR	856064	4361084928
8192	Enzyme/C	737280	4361093120
16384	LAGrad	987136	4370608128
16384	Enzyme/MLIR	987136	4361093120
16384	Enzyme/C	737280	4361084928
32768	LAGrad	1249280	4361084928
32768	Enzyme/MLIR	1249280	4361084928
32768	Enzyme/C	737280	4361084928
65536	LAGrad	1773568	4370608128
65536	Enzyme/MLIR	1773568	4371136512
65536	Enzyme/C	737280	4361084928
131072	LAGrad	2822144	4371660800
131072	Enzyme/MLIR	2822144	4371660800
131072	Enzyme/C	737280	4361084928
262144	LAGrad	4919296	4372709376
262144	Enzyme/MLIR	4919296	4372709376
262144	Enzyme/C	737280	4361093120
524288	LAGrad	9113600	4374806528
524288	Enzyme/MLIR	9117696	4374810624
524288	Enzyme/C	737280	4370608128
