		run1	run2	run3	run4	run5	run6
gmm_d10_K5.txt	LAGrad	4958	4997	4976	5007	5050	5174
gmm_d10_K5.txt	Enzyme/MLIR	7385	5431	5408	5466	5457	5478
gmm_d10_K5.txt	Enzyme/C	34215	18769	15617	15387	16010	15491
gmm_d10_K10.txt	LAGrad	9508	9407	9378	9484	9408	9486
gmm_d10_K10.txt	Enzyme/MLIR	14466	12134	11765	11844	11730	11895
gmm_d10_K10.txt	Enzyme/C	70725	37671	38358	34725	32838	31663
gmm_d20_K5.txt	LAGrad	20025	19946	19947	19915	19887	20197
gmm_d20_K5.txt	Enzyme/MLIR	21833	19065	19587	18561	18261	18608
gmm_d20_K5.txt	Enzyme/C	105783	104782	100969	100584	99262	99900
gmm_d10_K25.txt	LAGrad	27211	27854	27323	27551	27932	27667
gmm_d10_K25.txt	Enzyme/MLIR	41771	35502	34495	34495	34140	34262
gmm_d10_K25.txt	Enzyme/C	161599	150025	151255	150278	149726	149720
gmm_d20_K10.txt	LAGrad	44079	43909	43789	43525	44445	43577
gmm_d20_K10.txt	Enzyme/MLIR	44737	40342	39826	40558	38980	40991
gmm_d20_K10.txt	Enzyme/C	218113	207149	205316	204996	214635	205008
gmm_d32_K5.txt	LAGrad	48717	47190	47592	47276	47345	47788
gmm_d32_K5.txt	Enzyme/MLIR	78232	77783	78512	76944	76282	77499
gmm_d32_K5.txt	Enzyme/C	272497	269359	256834	254464	267798	254410
gmm_d10_K50.txt	LAGrad	58792	59093	58917	59565	61975	61566
gmm_d10_K50.txt	Enzyme/MLIR	82861	69811	71656	70202	69329	72464
gmm_d10_K50.txt	Enzyme/C	345372	304685	305880	321028	305109	304028
gmm_d32_K10.txt	LAGrad	87909	88327	91800	88797	88682	88861
gmm_d32_K10.txt	Enzyme/MLIR	165057	156434	154470	154123	157632	158014
gmm_d32_K10.txt	Enzyme/C	536549	520355	525073	524604	540874	531823
gmm_d20_K25.txt	LAGrad	111057	110171	109382	108952	109371	110286
gmm_d20_K25.txt	Enzyme/MLIR	130489	113789	106834	109520	110001	110551
gmm_d20_K25.txt	Enzyme/C	551248	527941	527064	524968	537899	549430
gmm_d10_K100.txt	LAGrad	124876	122185	125162	126330	122924	133556
gmm_d10_K100.txt	Enzyme/MLIR	166032	139447	141102	140801	138605	143083
gmm_d10_K100.txt	Enzyme/C	677288	639558	622622	633226	634942	617573
gmm_d64_K5.txt	LAGrad	0	0	0	0	0	0
gmm_d64_K5.txt	Enzyme/MLIR	0	0	0	0	0	0
