			rss	vsize
gmm_d10_K5.txt	LAGrad	Full	1654784	4380966912
gmm_d10_K5.txt	LAGrad	Tri	1708032	4390408192
gmm_d10_K5.txt	LAGrad	Packed	1650688	4380979200
gmm_d10_K5.txt	Enzyme/MLIR	Full	0	0
gmm_d10_K5.txt	Enzyme/MLIR	Tri	37720064	4423995392
gmm_d10_K5.txt	Enzyme/MLIR	Packed	10219520	4389552128
gmm_d10_K5.txt	Enzyme/C	Full	0	0
gmm_d10_K5.txt	Enzyme/C	Tri	62091264	4458377216
gmm_d10_K5.txt	Enzyme/C	Packed	10285056	4398989312
gmm_d10_K10.txt	LAGrad	Full	1646592	4371533824
gmm_d10_K10.txt	LAGrad	Tri	1736704	4390416384
gmm_d10_K10.txt	LAGrad	Packed	1683456	4380995584
gmm_d10_K10.txt	Enzyme/MLIR	Full	0	0
gmm_d10_K10.txt	Enzyme/MLIR	Tri	69435392	4455288832
gmm_d10_K10.txt	Enzyme/MLIR	Packed	18624512	4388528128
gmm_d10_K10.txt	Enzyme/C	Full	90689536	4479389696
gmm_d10_K10.txt	Enzyme/C	Tri	118571008	4507303936
gmm_d10_K10.txt	Enzyme/C	Packed	18735104	4416839680
gmm_d20_K5.txt	LAGrad	Full	2592768	4401696768
gmm_d20_K5.txt	LAGrad	Tri	2560000	4391215104
gmm_d20_K5.txt	LAGrad	Packed	2502656	4381786112
gmm_d20_K5.txt	Enzyme/MLIR	Full	0	0
gmm_d20_K5.txt	Enzyme/MLIR	Tri	111828992	4500799488
gmm_d20_K5.txt	Enzyme/MLIR	Packed	19156992	4407799808
gmm_d20_K5.txt	Enzyme/C	Full	171110400	4550352896
gmm_d20_K5.txt	Enzyme/C	Tri	200916992	4596854784
gmm_d20_K5.txt	Enzyme/C	Packed	19144704	4407799808
gmm_d10_K25.txt	LAGrad	Full	1785856	4390412288
gmm_d10_K25.txt	LAGrad	Tri	1839104	4399857664
gmm_d10_K25.txt	LAGrad	Packed	1810432	4399869952
gmm_d10_K25.txt	Enzyme/MLIR	Full	0	0
gmm_d10_K25.txt	Enzyme/MLIR	Tri	168792064	4565893120
gmm_d10_K25.txt	Enzyme/MLIR	Packed	43982848	4432601088
gmm_d10_K25.txt	Enzyme/C	Full	223989760	4612587520
gmm_d10_K25.txt	Enzyme/C	Tri	288440320	4679233536
gmm_d10_K25.txt	Enzyme/C	Packed	44011520	4432605184
gmm_d20_K10.txt	LAGrad	Full	2576384	4381782016
gmm_d20_K10.txt	LAGrad	Tri	2686976	4391227392
gmm_d20_K10.txt	LAGrad	Packed	2637824	4391239680
gmm_d20_K10.txt	Enzyme/MLIR	Full	0	0
gmm_d20_K10.txt	Enzyme/MLIR	Tri	216985600	4604923904
gmm_d20_K10.txt	Enzyme/MLIR	Packed	35639296	4424212480
gmm_d20_K10.txt	Enzyme/C	Full	339644416	4728197120
gmm_d20_K10.txt	Enzyme/C	Tri	393908224	4777140224
