		run1	run2	run3	run4	run5	run6
gmm_d10_K5.txt	LAGrad	5786	5801	5716	5748	5702	5744
gmm_d10_K5.txt	Enzyme/MLIR	8112	6501	6665	6653	6529	7029
gmm_d10_K5.txt	Enzyme/C	9374	9164	9695	9882	9398	9461
gmm_d10_K10.txt	LAGrad	11903	11855	11902	12055	11903	11978
gmm_d10_K10.txt	Enzyme/MLIR	17324	13829	13650	13790	13498	13827
gmm_d10_K10.txt	Enzyme/C	18835	18978	18541	18738	19182	18473
gmm_d20_K5.txt	LAGrad	22819	22817	22609	22701	22718	22709
gmm_d20_K5.txt	Enzyme/MLIR	23453	20863	20866	20934	20651	21054
gmm_d20_K5.txt	Enzyme/C	21081	21417	20859	20847	20932	20923
gmm_d10_K25.txt	LAGrad	31590	30942	31014	32362	31038	31227
gmm_d10_K25.txt	Enzyme/MLIR	44717	38026	38009	37144	38863	37923
gmm_d10_K25.txt	Enzyme/C	50552	50424	50755	50570	50716	50427
gmm_d20_K10.txt	LAGrad	47957	47206	48214	47276	47540	48079
gmm_d20_K10.txt	Enzyme/MLIR	49467	44293	45522	45737	45361	44321
gmm_d20_K10.txt	Enzyme/C	46458	45580	46569	45985	46014	48585
gmm_d32_K5.txt	LAGrad	55471	54438	55195	54214	54543	54351
gmm_d32_K5.txt	Enzyme/MLIR	56387	51805	51260	51842	51582	50375
gmm_d32_K5.txt	Enzyme/C	53091	62519	52957	51831	49586	52293
gmm_d10_K50.txt	LAGrad	68352	67992	67419	67889	68954	69556
gmm_d10_K50.txt	Enzyme/MLIR	88279	72727	76131	78116	77104	73166
gmm_d10_K50.txt	Enzyme/C	103711	102194	101296	112145	102971	97298
gmm_d32_K10.txt	LAGrad	124121	124377	124728	125617	126311	125856
gmm_d32_K10.txt	Enzyme/MLIR	119037	122269	111058	105747	105917	106030
gmm_d32_K10.txt	Enzyme/C	107020	105999	106054	110795	112206	111460
gmm_d20_K25.txt	LAGrad	121824	121954	120800	122340	126191	121529
gmm_d20_K25.txt	Enzyme/MLIR	134317	113963	114877	119729	114191	115022
gmm_d20_K25.txt	Enzyme/C	117462	119729	119229	118628	118727	119099
gmm_d10_K100.txt	LAGrad	140562	142160	136380	136869	137334	136360
gmm_d10_K100.txt	Enzyme/MLIR	177775	146285	154395	151767	147530	146522
gmm_d10_K100.txt	Enzyme/C	199161	198851	198748	203722	199521	207015
gmm_d64_K5.txt	LAGrad	235288	237352	234808	234765	235435	234638
gmm_d64_K5.txt	Enzyme/MLIR	259449	227523	227567	232499	235928	227153
gmm_d64_K5.txt	Enzyme/C	224736	236761	231288	227732	234972	231771
gmm_d20_K50.txt	LAGrad	250345	250508	251704	251553	248228	250146
gmm_d20_K50.txt	Enzyme/MLIR	268540	231506	224880	239326	306226	227267
gmm_d20_K50.txt	Enzyme/C	240663	245976	244264	253928	247729	247131
gmm_d10_K200.txt	LAGrad	276613	291178	275188	283313	274677	281214
gmm_d10_K200.txt	Enzyme/MLIR	406897	413591	419007	412004	406710	416488
gmm_d10_K200.txt	Enzyme/C	501861	512525	503714	508805	516490	503332
gmm_d32_K25.txt	LAGrad	266181	266933	265706	266096	268948	264402
gmm_d32_K25.txt	Enzyme/MLIR	277683	261709	262798	273157	271065	257124
gmm_d32_K25.txt	Enzyme/C	256087	267025	275870	262360	260359	306882
gmm_d64_K10.txt	LAGrad	514053	508427	508825	509929	514631	512720
gmm_d64_K10.txt	Enzyme/MLIR	531809	521979	551091	530689	521126	525761
gmm_d64_K10.txt	Enzyme/C	513553	511505	524447	526598	515336	501766
gmm_d20_K100.txt	LAGrad	507557	504027	509557	502372	502245	505605
gmm_d20_K100.txt	Enzyme/MLIR	585429	569905	558835	572225	575242	585659
gmm_d20_K100.txt	Enzyme/C	575139	601222	607624	584266	597406	584896
gmm_d32_K50.txt	LAGrad	617912	614464	615010	616369	625559	617378
gmm_d32_K50.txt	Enzyme/MLIR	570935	528691	562091	538510	525173	539415
gmm_d32_K50.txt	Enzyme/C	552032	541992	543032	597938	555163	538772
gmm_d128_K5.txt	LAGrad	704992	702348	697754	703629	715679	758654
gmm_d128_K5.txt	Enzyme/MLIR	772920	745305	742671	733331	725807	732989
gmm_d128_K5.txt	Enzyme/C	752640	769464	745639	738419	744327	732688
gmm_d20_K200.txt	LAGrad	1028760	1012209	1007963	1073149	1024105	1007003
