		run1	run2	run3	run4	run5	run6
gmm_d10_K5.txt	LAGrad	585	569	569	568	569	569
gmm_d10_K5.txt	Enzyme/MLIR	787	628	624	779	659	638
gmm_d10_K5.txt	Enzyme/C	909	945	915	918	918	900
gmm_d10_K10.txt	LAGrad	1237	1221	1220	1300	1219	1220
gmm_d10_K10.txt	Enzyme/MLIR	1587	1278	1283	1283	1278	1325
gmm_d10_K10.txt	Enzyme/C	1852	1838	1831	1905	1866	1840
gmm_d20_K5.txt	LAGrad	2530	2737	2229	2231	2230	2267
gmm_d20_K5.txt	Enzyme/MLIR	2326	2175	1932	1933	1933	1941
gmm_d20_K5.txt	Enzyme/C	2115	2028	2088	2027	2026	2070
gmm_d10_K25.txt	LAGrad	3299	3233	3095	3091	3091	3094
gmm_d10_K25.txt	Enzyme/MLIR	4076	3207	3221	3190	3191	3184
gmm_d10_K25.txt	Enzyme/C	4562	4536	4877	4541	4572	4581
gmm_d20_K10.txt	LAGrad	4838	4761	4731	5127	4729	4731
gmm_d20_K10.txt	Enzyme/MLIR	4840	4192	4309	4371	4905	4285
gmm_d20_K10.txt	Enzyme/C	4546	4745	5376	4597	4441	4358
gmm_d32_K5.txt	LAGrad	5549	5424	5419	5422	5421	5418
gmm_d32_K5.txt	Enzyme/MLIR	5512	4999	4990	5010	5001	4992
gmm_d32_K5.txt	Enzyme/C	4874	4984	5035	5087	5027	5044
gmm_d10_K50.txt	LAGrad	6805	6697	6754	6775	6710	6690
gmm_d10_K50.txt	Enzyme/MLIR	8345	6693	6729	7593	6690	6469
gmm_d10_K50.txt	Enzyme/C	9057	9204	9229	9200	9251	9218
gmm_d32_K10.txt	LAGrad	12733	12725	12676	12696	12723	12863
gmm_d32_K10.txt	Enzyme/MLIR	11153	10275	10139	10238	10285	10186
gmm_d32_K10.txt	Enzyme/C	11592	10811	10793	10914	10755	10562
gmm_d20_K25.txt	LAGrad	12258	12296	12147	12204	12175	12150
gmm_d20_K25.txt	Enzyme/MLIR	12393	10644	10792	10666	10768	10576
gmm_d20_K25.txt	Enzyme/C	11018	11036	10921	11089	11139	11717
gmm_d10_K100.txt	LAGrad	14022	13973	13928	13956	14000	13956
gmm_d10_K100.txt	Enzyme/MLIR	17690	13924	13603	13738	13543	14090
gmm_d10_K100.txt	Enzyme/C	19363	19661	18961	18934	19556	18973
gmm_d64_K5.txt	LAGrad	23061	23204	23085	22866	22867	22970
