		run1	run2	run3	run4	run5	run6
gmm_d10_K5.txt	LAGrad	13691	13498	13393	13483	13393	13396
gmm_d10_K5.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d10_K5.txt	Enzyme/C	148750	147011	148462	147884	145622	146506
gmm_d10_K10.txt	LAGrad	27406	28406	27916	27826	28132	28289
gmm_d10_K10.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d10_K10.txt	Enzyme/C	311549	288431	285972	289608	286446	285077
gmm_d20_K5.txt	LAGrad	36641	37671	36609	36462	36288	36361
gmm_d20_K5.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d20_K5.txt	Enzyme/C	363983	350802	347692	360096	350019	348685
gmm_d10_K25.txt	LAGrad	69706	69434	69678	69483	69710	69445
gmm_d10_K25.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d10_K25.txt	Enzyme/C	776359	767963	736833	721660	740433	785001
gmm_d20_K10.txt	LAGrad	76838	74852	75397	77500	78411	77484
gmm_d20_K10.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d20_K10.txt	Enzyme/C	748064	723381	704822	701489	710299	731458
gmm_d32_K5.txt	LAGrad	96355	96365	96226	96655	96418	96655
gmm_d32_K5.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d32_K5.txt	Enzyme/C	685235	664576	668942	676405	670108	663449
gmm_d10_K50.txt	LAGrad	146676	143047	146730	144334	143490	145727
gmm_d10_K50.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d10_K50.txt	Enzyme/C	1478663	1418840	1423252	1457947	1473701	1438614
gmm_d32_K10.txt	LAGrad	194942	193102	196375	197770	196799	196511
gmm_d32_K10.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d32_K10.txt	Enzyme/C	1368840	1335510	1374724	1350043	1351480	1361249
gmm_d20_K25.txt	LAGrad	188550	188653	185200	186383	180643	180838
gmm_d20_K25.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d20_K25.txt	Enzyme/C	1843877	1784358	1758754	1778207	1784350	1759629
gmm_d10_K100.txt	LAGrad	284950	295098	284951	285485	282688	289062
gmm_d10_K100.txt	Enzyme/MLIR	0	0	0	0	0	0
