		max_rss	vsize
hand1_t26_c100.txt	LAGrad	1400832	4407959552
hand1_t26_c100.txt	Enzyme/MLIR	0	0
hand1_t26_c100.txt	Enzyme/C	0	0
hand2_t26_c192.txt	LAGrad	1359872	4390244352
hand2_t26_c192.txt	Enzyme/MLIR	0	0
hand2_t26_c192.txt	Enzyme/C	0	0
hand3_t26_c200.txt	LAGrad	1437696	4399689728
hand3_t26_c200.txt	Enzyme/MLIR	0	0
hand3_t26_c200.txt	Enzyme/C	0	0
hand4_t26_c400.txt	LAGrad	1736704	4418813952
hand4_t26_c400.txt	Enzyme/MLIR	0	0
hand4_t26_c400.txt	Enzyme/C	0	0
hand5_t26_c800.txt	LAGrad	2138112	4427702272
hand5_t26_c800.txt	Enzyme/MLIR	0	0
hand5_t26_c800.txt	Enzyme/C	0	0
hand6_t26_c1600.txt	LAGrad	2564096	4429832192
hand6_t26_c1600.txt	Enzyme/MLIR	0	0
hand6_t26_c1600.txt	Enzyme/C	0	0
hand7_t26_c3200.txt	LAGrad	3833856	4441341952
hand7_t26_c3200.txt	Enzyme/MLIR	0	0
hand7_t26_c3200.txt	Enzyme/C	0	0
hand8_t26_c6400.txt	LAGrad	5967872	4445487104
hand8_t26_c6400.txt	Enzyme/MLIR	0	0
hand8_t26_c6400.txt	Enzyme/C	0	0
hand9_t26_c12800.txt	LAGrad	10280960	4453830656
hand9_t26_c12800.txt	Enzyme/MLIR	0	0
hand9_t26_c12800.txt	Enzyme/C	0	0
hand10_t26_c25600.txt	LAGrad	18939904	4470468608
hand10_t26_c25600.txt	Enzyme/MLIR	0	0
hand10_t26_c25600.txt	Enzyme/C	0	0
hand11_t26_c51200.txt	LAGrad	36261888	4503744512
hand11_t26_c51200.txt	Enzyme/MLIR	0	0
hand11_t26_c51200.txt	Enzyme/C	0	0
hand12_t26_c100000.txt	LAGrad	69242880	4567195648
hand12_t26_c100000.txt	Enzyme/MLIR	0	0
hand12_t26_c100000.txt	Enzyme/C	0	0
