			run1	run2	run3	run4	run5	run6
hand1_t26_c100.txt	LAGrad	Simple	86866	88868	88191	86424	84232	87011
hand1_t26_c100.txt	LAGrad	Complicated	0	0	0	0	0	0
hand1_t26_c100.txt	Enzyme/MLIR	Simple	0	0	0	0	0	0
hand1_t26_c100.txt	Enzyme/MLIR	Complicated	0	0	0	0	0	0
hand1_t26_c100.txt	Enzyme/C	Simple	0	0	0	0	0	0
hand1_t26_c100.txt	Enzyme/C	Complicated	0	0	0	0	0	0
hand2_t26_c192.txt	LAGrad	Simple	166882	164443	166568	163735	165446	162975
hand2_t26_c192.txt	LAGrad	Complicated	0	0	0	0	0	0
hand2_t26_c192.txt	Enzyme/MLIR	Simple	0	0	0	0	0	0
hand2_t26_c192.txt	Enzyme/MLIR	Complicated	0	0	0	0	0	0
hand2_t26_c192.txt	Enzyme/C	Simple	0	0	0	0	0	0
hand2_t26_c192.txt	Enzyme/C	Complicated	0	0	0	0	0	0
hand3_t26_c200.txt	LAGrad	Simple	173669	173318	170673	170113	171989	173151
hand3_t26_c200.txt	LAGrad	Complicated	0	0	0	0	0	0
hand3_t26_c200.txt	Enzyme/MLIR	Simple	0	0	0	0	0	0
hand3_t26_c200.txt	Enzyme/MLIR	Complicated	0	0	0	0	0	0
hand3_t26_c200.txt	Enzyme/C	Simple	0	0	0	0	0	0
hand3_t26_c200.txt	Enzyme/C	Complicated	0	0	0	0	0	0
hand4_t26_c400.txt	LAGrad	Simple	344793	343289	345276	348134	355622	351264
hand4_t26_c400.txt	LAGrad	Complicated	0	0	0	0	0	0
hand4_t26_c400.txt	Enzyme/MLIR	Simple	0	0	0	0	0	0
hand4_t26_c400.txt	Enzyme/MLIR	Complicated	0	0	0	0	0	0
hand4_t26_c400.txt	Enzyme/C	Simple	0	0	0	0	0	0
hand4_t26_c400.txt	Enzyme/C	Complicated	0	0	0	0	0	0
hand5_t26_c800.txt	LAGrad	Simple	685347	689941	678706	681994	677747	685210
hand5_t26_c800.txt	LAGrad	Complicated	0	0	0	0	0	0
hand5_t26_c800.txt	Enzyme/MLIR	Simple	0	0	0	0	0	0
hand5_t26_c800.txt	Enzyme/MLIR	Complicated	0	0	0	0	0	0
hand5_t26_c800.txt	Enzyme/C	Simple	0	0	0	0	0	0
