			run1	run2	run3	run4	run5	run6
hand1_t26_c100.txt	LAGrad	Small	54553	53538	53930	52518	54205	56301
hand1_t26_c100.txt	LAGrad	Big	1265070	1256597	1282523	1260936	1273398	1253087
hand2_t26_c192.txt	LAGrad	Small	104053	101843	102020	102388	102255	102591
hand2_t26_c192.txt	LAGrad	Big	2414842	2417328	2401826	2426756	2406746	2406507
hand3_t26_c200.txt	LAGrad	Small	110889	110224	106520	106810	107002	107870
hand3_t26_c200.txt	LAGrad	Big	2517117	2551467	2601365	2544004	2504481	2510715
hand4_t26_c400.txt	LAGrad	Small	212051	214646	212163	213368	214389	216957
hand4_t26_c400.txt	LAGrad	Big	5100759	5066262	5059592	5077703	5062974	5076871
hand5_t26_c800.txt	LAGrad	Small	466064	443024	474973	444678	460065	462855
hand5_t26_c800.txt	LAGrad	Big	10070821	10114021	10048758	10085213	10068662	10046356
hand6_t26_c1600.txt	LAGrad	Small	919329	885659	883798	883098	864705	859362
hand6_t26_c1600.txt	LAGrad	Big	20144217	20184955	20151161	20153801	20154772	20122419
hand7_t26_c3200.txt	LAGrad	Small	1755258	1744541	1741825	1730381	1731462	1769748
hand7_t26_c3200.txt	LAGrad	Big	40547110	40443883	41812437	40391925	40310364	40339630
hand8_t26_c6400.txt	LAGrad	Small	3613272	3649007	3599538	3615395	3609395	3586769
hand8_t26_c6400.txt	LAGrad	Big	80849037	80714963	80775855	80927416	80857378	80843937
hand9_t26_c12800.txt	LAGrad	Small	7598808	7485061	7482508	7487693	7492422	7503027
hand9_t26_c12800.txt	LAGrad	Big	162007292	161995593	161982207	162187718	161757851	161196443
hand10_t26_c25600.txt	LAGrad	Small	16237213	16193674	16191091	16179933	16214162	16241109
hand10_t26_c25600.txt	LAGrad	Big	0	0	0	0	0	0
hand11_t26_c51200.txt	LAGrad	Small	37734573	37350676	37311152	37216484	37161792	37195290
hand11_t26_c51200.txt	LAGrad	Big	0	0	0	0	0	0
hand12_t26_c100000.txt	LAGrad	Small	92406572	91665439	91477517	91489470	91407032	91442862
hand12_t26_c100000.txt	LAGrad	Big	0	0	0	0	0	0
