		max_rss	vsize
lstm_l2_c1024.txt	Handrolled	1536000	4380946432
lstm_l2_c1024.txt	LAGrad	4210688	4393017344
lstm_l2_c1024.txt	Enzyme/MLIR	15290368	4385267712
lstm_l2_c1024.txt	Enzyme/C	5242880	4382908416
lstm_l4_c1024.txt	Handrolled	2035712	4400279552
lstm_l4_c1024.txt	LAGrad	7217152	4397047808
lstm_l4_c1024.txt	Enzyme/MLIR	27574272	4416299008
lstm_l4_c1024.txt	Enzyme/C	9277440	4395589632
lstm_l2_c4096.txt	Handrolled	3641344	4401885184
lstm_l2_c4096.txt	LAGrad	14213120	4405092352
lstm_l2_c4096.txt	Enzyme/MLIR	58757120	4438122496
lstm_l2_c4096.txt	Enzyme/C	16445440	4395134976
lstm_l4_c4096.txt	Handrolled	5431296	4384845824
lstm_l4_c4096.txt	LAGrad	26173440	4426457088
lstm_l4_c4096.txt	Enzyme/MLIR	107388928	4477378560
lstm_l4_c4096.txt	Enzyme/C	28172288	4409229312
