		run1	run2	run3	run4	run5	run6
lstm_l2_c1024.txt	LAGrad	4547	3418	3433	3433	3402	3404
lstm_l2_c1024.txt	Enzyme/MLIR	9150	5384	5334	5293	5289	5231
lstm_l2_c1024.txt	Enzyme/C	6557	6178	6192	6267	6653	6123
lstm_l2_c4096.txt	LAGrad	19216	15471	15437	14890	15829	15292
lstm_l2_c4096.txt	Enzyme/MLIR	37975	23541	23592	23337	23226	23165
lstm_l2_c4096.txt	Enzyme/C	28247	27478	27033	27386	27020	28139
lstm_l4_c1024.txt	LAGrad	9680	7700	7733	7658	7614	7610
lstm_l4_c1024.txt	Enzyme/MLIR	17595	10601	11456	10569	11308	10474
lstm_l4_c1024.txt	Enzyme/C	13188	12966	12843	13095	13044	12852
lstm_l4_c4096.txt	LAGrad	47123	38843	38417	39437	38064	39245
lstm_l4_c4096.txt	Enzyme/MLIR	74110	52520	52644	53260	52082	53223
lstm_l4_c4096.txt	Enzyme/C	56331	56494	55639	55681	56225	57753
