		max_rss	vsize
16	LAGrad	708608	4370616320
16	Enzyme/MLIR	708608	4370616320
16	Enzyme/C	708608	4370616320
32	LAGrad	745472	4370612224
32	Enzyme/MLIR	1032192	4370612224
32	Enzyme/C	1019904	4370612224
64	LAGrad	827392	4379000832
64	Enzyme/MLIR	3088384	4381102080
64	Enzyme/C	2924544	4381102080
128	LAGrad	1110016	4371136512
128	Enzyme/MLIR	18157568	4396433408
128	Enzyme/C	17887232	4387913728
256	LAGrad	2297856	4381097984
256	Enzyme/MLIR	137555968	4507451392
256	Enzyme/C	136515584	4515315712
512	LAGrad	7008256	4379000832
512	Enzyme/MLIR	1084944384	5454839808
512	Enzyme/C	1080770560	5462179840
1024	LAGrad	25886720	4404170752
1024	Enzyme/MLIR	8632414208	13010882560
1024	Enzyme/C	8615817216	12994105344
