		run1	run2	run3	run4	run5	run6
hand1_t26_c100.txt	LAGrad	86866.0	88868.0	88191.0	86424.0	84232.0	87011.0
hand1_t26_c100.txt	Enzyme/MLIR	144275.0	142778.0	143282.0	142014.0	141774.0	141535.0
hand1_t26_c100.txt	Enzyme/C	2062957.0	2082801.0	2078484.0	2140845.0	2106993.0	2122447.0
hand2_t26_c192.txt	LAGrad	166882.0	164443.0	166568.0	163735.0	165446.0	162975.0
hand2_t26_c192.txt	Enzyme/MLIR	276509.0	276419.0	275752.0	281766.0	275442.0	274773.0
hand2_t26_c192.txt	Enzyme/C	3999429.0	4028457.0	4031623.0	4044334.0	4108746.0	4172728.0
hand3_t26_c200.txt	LAGrad	173669.0	173318.0	170673.0	170113.0	171989.0	173151.0
hand3_t26_c200.txt	Enzyme/MLIR	299744.0	288030.0	289750.0	288318.0	285941.0	286634.0
hand3_t26_c200.txt	Enzyme/C	4118871.0	4186180.0	4198379.0	4173532.0	4275294.0	4283799.0
hand4_t26_c400.txt	LAGrad	344793.0	343289.0	345276.0	348134.0	355622.0	351264.0
hand4_t26_c400.txt	Enzyme/MLIR	577710.0	579161.0	575426.0	586554.0	577180.0	577940.0
hand4_t26_c400.txt	Enzyme/C	8286952.0	8573023.0	8788299.0	8412811.0	8571964.0	8722378.0
hand5_t26_c800.txt	LAGrad	685347.0	689941.0	678706.0	681994.0	677747.0	685210.0
hand5_t26_c800.txt	Enzyme/MLIR	1162509.0	1151109.0	1161642.0	1170933.0	1158215.0	1167426.0
hand5_t26_c800.txt	Enzyme/C	16902569.0	17599015.0	18509495.0	18860394.0	19101090.0	19283145.0
hand6_t26_c1600.txt	LAGrad	1387718.0	1396169.0	1402145.0	1389507.0	1395699.0	1386686.0
hand6_t26_c1600.txt	Enzyme/MLIR	2398764.0	2380610.0	2382301.0	2404112.0	2388650.0	2464244.0
hand6_t26_c1600.txt	Enzyme/C	35085054.0	37827695.0	38949020.0	38279419.0	39427549.0	37096960.0
hand7_t26_c3200.txt	LAGrad	2849368.0	2825582.0	2833592.0	2867963.0	2857784.0	2854635.0
hand7_t26_c3200.txt	Enzyme/MLIR	4939673.0	4954875.0	4968587.0	4942558.0	4956508.0	5001096.0
hand7_t26_c3200.txt	Enzyme/C	73072396.0	77361299.0	73813498.0	73515856.0	74249215.0	72549840.0
hand8_t26_c6400.txt	LAGrad	5931623.0	5954843.0	5880987.0	5923812.0	5884823.0	5988961.0
hand8_t26_c6400.txt	Enzyme/MLIR	10635708.0	10673527.0	10649698.0	10650530.0	10615213.0	10658300.0
hand8_t26_c6400.txt	Enzyme/C	151264179.0	147057831.0	146503458.0	150851615.0	152829951.0	151861798.0
hand9_t26_c12800.txt	LAGrad	12833230.0	12790754.0	12754553.0	12812509.0	12786843.0	12718534.0
hand9_t26_c12800.txt	Enzyme/MLIR	24326502.0	24532772.0	24250242.0	24604525.0	24220654.0	24288774.0
hand9_t26_c12800.txt	Enzyme/C	303206890.0	297172927.0	313237244.0	318449896.0	330845460.0	340141331.0
hand10_t26_c25600.txt	LAGrad	29007353.0	28921510.0	28974336.0	28977453.0	29073720.0	28983230.0
hand10_t26_c25600.txt	Enzyme/MLIR	62154920.0	62307191.0	62278921.0	62547573.0	62548406.0	62023493.0
hand10_t26_c25600.txt	Enzyme/C	619226025.0	647289800.0	703163931.0	701152882.0	703085738.0	712625204.0
hand11_t26_c51200.txt	LAGrad	72099931.0	73974614.0	71934630.0	72088990.0	71716732.0	71708514.0
hand11_t26_c51200.txt	Enzyme/MLIR	177646039.0	177935936.0	177634374.0	177690628.0	177783007.0	176716054.0
hand11_t26_c51200.txt	Enzyme/C						
hand12_t26_c100000.txt	LAGrad	191394733.0	191108840.0	191158351.0	191409299.0	191315539.0	191284634.0
hand12_t26_c100000.txt	Enzyme/MLIR	591386246.0	575266370.0	573065068.0	572992525.0	572725720.0	574065256.0
hand12_t26_c100000.txt	Enzyme/C						
