		run1	run2	run3	run4	run5	run6
256	LAGrad Packed	177	39	38	35	35	35
256	LAGrad Tri	335	34	26	25	25	25
256	LAGrad Full	48	47	46	46	43	43
512	LAGrad Packed	604	131	128	179	159	140
512	LAGrad Tri	930	166	161	152	111	113
512	LAGrad Full	204	207	236	202	204	207
1024	LAGrad Packed	2963	808	657	753	681	686
1024	LAGrad Tri	2933	699	680	714	739	566
1024	LAGrad Full	1017	985	986	1099	977	979
2048	LAGrad Packed	11460	3298	3183	3339	3268	3280
2048	LAGrad Tri	10493	3367	3441	3364	3497	3270
2048	LAGrad Full	6092	6118	6659	5971	5975	6067
4096	LAGrad Packed	44247	17774	17300	18967	17278	17060
4096	LAGrad Tri	39626	17676	18386	17949	18021	18037
4096	LAGrad Full	36613	37070	36126	36096	35635	36922
